Query,Response
آیا در خریدهای آنلاین تخفیف‌های ویژه داریم؟,"بله، تخفیف‌های ویژه برای خریدهای آنلاین در دسترس است."
آیا سفارشات من شامل مالیات می‌شود؟,"بله، مالیات به مبلغ کل سفارش افزوده خواهد شد."
آیا می‌توانم یک محصول را به راحتی بازگشت دهم؟,"بله، شما می‌توانید محصول خود را طبق شرایط بازگشت کالا برگردانید."
آیا می‌توانم از مشاوره آنلاین برای انتخاب محصول استفاده کنم؟,"بله، شما می‌توانید از مشاوره آنلاین به صورت رایگان استفاده کنید."
آیا تخفیف‌ها به صورت خودکار در هنگام پرداخت اعمال می‌شوند؟,"بله، تخفیف‌های موجود به صورت خودکار در هنگام پرداخت اعمال می‌شوند."
آیا محصولات شما به صورت هدایای ویژه بسته‌بندی می‌شوند؟,"بله، شما می‌توانید محصولات را به صورت هدیه بسته‌بندی کنید."
آیا محصولات شما دارای توضیحات دقیق در مورد مواد تشکیل‌دهنده هستند؟,"بله، تمام جزئیات مواد تشکیل‌دهنده محصولات در توضیحات محصول درج شده است."
آیا خدمات نصب محصولات را ارائه می‌دهید؟,"بله، خدمات نصب برای برخی محصولات در دسترس است."
آیا در فروشگاه آنلاین شما مقالات یا راهنماهای خرید وجود دارد؟,"بله، ما مقالات و راهنماهای مفیدی برای خرید محصولات در وب‌سایت داریم."
آیا تخفیف‌های ویژه برای اعضای باشگاه مشتریان دارید؟,"بله، اعضای باشگاه مشتریان از تخفیف‌های ویژه برخوردار می‌شوند."
آیا می‌توانم سفارشات را به صورت عمده ارسال کنم؟,"بله، شما می‌توانید سفارشات عمده خود را ارسال کنید."
آیا برای خریداران جدید تخفیف‌های ویژه‌ای دارید؟,"بله، خریداران جدید از تخفیف‌های ویژه برخوردار خواهند شد."
آیا می‌توانم سفارش خود را بعد از خرید تغییر دهم؟,"پس از خرید، امکان تغییر سفارش وجود ندارد."
آیا برای هر محصول چندین گزینه رنگی موجود است؟,"بله، بسیاری از محصولات ما در چندین رنگ مختلف موجود هستند."
آیا به مشتریان قدیمی تخفیف داده می‌شود؟,"بله، مشتریان قدیمی از تخفیف‌های ویژه برخوردار هستند."
آیا می‌توانم خرید خود را لغو کنم؟,"بسته به وضعیت سفارش، ممکن است امکان لغو خرید وجود داشته باشد. لطفاً با تیم پشتیبانی تماس بگیرید."
آیا محصولات شما گارانتی دارند؟,"بله، بسیاری از محصولات ما دارای گارانتی هستند. شرایط گارانتی در توضیحات محصول موجود است."
آیا می‌توانم محصولات را از فروشگاه به خانه تحویل بگیرم؟,"بله، شما می‌توانید محصولات خود را از فروشگاه به آدرس دلخواه تحویل بگیرید."
"آیا برای ارسال سریع، هزینه اضافی باید پرداخت کنم؟","بله، ارسال سریع ممکن است شامل هزینه اضافی باشد."
آیا می‌توانم از کدهای تخفیف در فروشگاه فیزیکی استفاده کنم؟,معمولاً کدهای تخفیف فقط برای خریدهای آنلاین قابل استفاده هستند.
آیا شما خدمات ویژه برای کسب‌وکارها دارید؟,"بله، ما خدمات ویژه‌ای برای کسب‌وکارها و خریدهای عمده داریم."
آیا فروشگاه شما در ایام تعطیلات عمومی باز است؟,"بله، اما ساعت‌های کاری ممکن است در تعطیلات عمومی تغییر کند. لطفاً قبل از مراجعه، با ما تماس بگیرید."
آیا امکان ارسال محصولات به نقاط دورافتاده وجود دارد؟,"بله، ما ارسال به مناطق دورافتاده را انجام می‌دهیم. ممکن است هزینه ارسال بیشتر باشد."
آیا می‌توانم به راحتی مشخصات محصول را مقایسه کنم؟,"بله، شما می‌توانید مشخصات محصولات مختلف را در وب‌سایت ما مقایسه کنید."
آیا محصولات شما قابلیت شخصی‌سازی دارند؟,"بله، برخی از محصولات ما قابلیت شخصی‌سازی دارند. جزئیات بیشتر در توضیحات محصول آمده است."
آیا امکان پرداخت از طریق اپلیکیشن موبایل وجود دارد؟,"بله، شما می‌توانید از طریق اپلیکیشن موبایل برای خرید آنلاین پرداخت کنید."
آیا می‌توانم سفارش خود را از هر نقطه‌ای پیگیری کنم؟,"بله، شما می‌توانید وضعیت سفارش خود را از طریق وب‌سایت یا اپلیکیشن پیگیری کنید."
آیا می‌توانم محصولات مختلف را در یک سفارش خریداری کنم؟,"بله، شما می‌توانید چندین محصول مختلف را در یک سفارش خریداری کنید."
آیا می‌توانم با استفاده از وام یا اعتبار خرید کنم؟,"بله، گزینه‌های خرید با اعتبار یا وام در دسترس هستند."
آیا می‌توانم از طریق درگاه‌های آنلاین مختلف پرداخت کنم؟,"بله، ما چندین درگاه پرداخت آنلاین مختلف را برای راحتی شما فراهم کرده‌ایم."
آیا در خرید آنلاین امکان بازگشت محصولات وجود دارد؟,"بله، شما می‌توانید طبق شرایط بازگشت کالا، محصولات خود را بازگشت دهید."
آیا می‌توانم از تخفیف‌های فصلی استفاده کنم؟,"بله، ما تخفیف‌های فصلی را به صورت ویژه برای مشتریان ارائه می‌دهیم."
آیا محصولات شما به کشورهای مختلف ارسال می‌شود؟,"بله، ما ارسال بین‌المللی به کشورهای مختلف را ارائه می‌دهیم."
آیا در فروشگاه آنلاین شما نظرات مشتریان قابل مشاهده است؟,"بله، شما می‌توانید نظرات و بازخوردهای مشتریان دیگر را در صفحات محصول مشاهده کنید."
آیا می‌توانم از کارت‌های بانکی بین‌المللی استفاده کنم؟,"بله، کارت‌های بانکی بین‌المللی در فروشگاه آنلاین ما پذیرفته می‌شوند."
آیا فروشگاه شما به زبان‌های مختلف ترجمه شده است؟,"بله، وب‌سایت ما به چندین زبان از جمله انگلیسی و فارسی قابل دسترسی است."
آیا شما خدمات تحویل در روز بعد ارائه می‌دهید؟,"بله، خدمات تحویل در روز بعد برای برخی مناطق قابل استفاده است."
آیا می‌توانم وضعیت سفارش خود را تغییر دهم؟,"پس از ارسال سفارش، تغییرات امکان‌پذیر نیست، اما شما می‌توانید با تیم پشتیبانی تماس بگیرید."
"آیا در خرید آنلاین محصولات، اطلاعات شخصی من امن است؟","بله، اطلاعات شخصی شما با استفاده از پروتکل‌های امن در هنگام خرید آنلاین محافظت می‌شود."
آیا برای خریدهای بزرگ تخفیف‌های ویژه دارید؟,"بله، برای خریدهای عمده یا بزرگ تخفیف‌های ویژه در نظر گرفته می‌شود."
آیا امکان پرداخت در محل وجود دارد؟,"بله، امکان پرداخت در محل برای برخی از سفارشات و مناطق ممکن است."
آیا می‌توانم محصولات خود را به عنوان هدیه بسته‌بندی کنم؟,"بله، شما می‌توانید محصولات خود را هنگام تسویه حساب به عنوان هدیه بسته‌بندی کنید."
آیا در فروشگاه شما امکان خرید با کارت هدیه وجود دارد؟,"بله، شما می‌توانید از کارت هدیه برای خرید آنلاین استفاده کنید."
آیا ارسال به خارج از کشور هزینه اضافی دارد؟,"بله، ارسال بین‌المللی ممکن است شامل هزینه اضافی باشد."
آیا برای بازگشت کالا باید برچسب ارسال جدید بزنم؟,"بله، برای بازگشت کالا شما باید برچسب ارسال جدید از طریق پشتیبانی دریافت کنید."
آیا فروشگاه شما خدمات مشاوره به مشتریان ارائه می‌دهد؟,"بله، تیم پشتیبانی ما آماده است تا در انتخاب محصولات مناسب به شما کمک کند."
آیا می‌توانم محصولی را که در انبار موجود نیست پیش‌خرید کنم؟,"بله، شما می‌توانید برخی محصولات را برای پیش‌خرید سفارش دهید."
آیا محصولات شما سازگار با محیط زیست هستند؟,"بله، ما تلاش می‌کنیم تا محصولات پایدار و دوستدار محیط زیست را عرضه کنیم."
آیا می‌توانم برای خریدهای خود از تخفیف‌های بیشتر استفاده کنم؟,"بله، شما می‌توانید با استفاده از کدهای تخفیف در زمان خرید تخفیف بیشتری دریافت کنید."
آیا امکان خرید چندین محصول در یک سفارش وجود دارد؟,"بله، شما می‌توانید چندین محصول را در یک سفارش خریداری کنید."
آیا می‌توانم سفارش خود را در یک تاریخ مشخص دریافت کنم؟,"بله، در صورت امکان می‌توانید تاریخ تحویل دلخواه خود را هنگام تسویه حساب مشخص کنید."
آیا محصولات شما دارای ضمانت بازگشت وجه هستند؟,"بله، بسیاری از محصولات ما شامل ضمانت بازگشت وجه هستند."
آیا می‌توانم محصولات خریداری شده را در فروشگاه‌های شما برگشت دهم؟,"بله، شما می‌توانید محصولات خریداری شده آنلاین را در فروشگاه‌های فیزیکی برگشت دهید."
آیا شما برنامه‌ای برای مشتریان وفادار دارید؟,"بله، ما برای مشتریان وفادار برنامه‌ای داریم که شامل امتیازدهی و تخفیف‌های ویژه است."
آیا به مشتریان جدید تخفیف می‌دهید؟,"بله، مشتریان جدید می‌توانند از تخفیف ویژه در اولین خرید خود استفاده کنند."
آیا برای دانش‌آموزان تخفیف‌های ویژه دارید؟,"بله، دانش‌آموزان می‌توانند با ارائه کارت شناسایی دانشجویی از تخفیف ویژه برخوردار شوند."
آیا محصولات شما از نظر اخلاقی تولید می‌شوند؟,"بله، ما اطمینان حاصل می‌کنیم که محصولات ما از نظر اخلاقی و انسانی تولید می‌شوند."
آیا می‌توانم برای خریدهای آنلاین از پی پال استفاده کنم؟,"بله، شما می‌توانید از پی پال برای خریدهای آنلاین استفاده کنید."
آیا می‌توانم قیمت‌ها را در فروشگاه آنلاین مقایسه کنم؟,"بله، شما می‌توانید قیمت‌ها و مشخصات محصولات مختلف را به راحتی در وب‌سایت ما مقایسه کنید."
آیا هزینه‌های ارسال برای مناطق مختلف متفاوت است؟,"بله، هزینه‌های ارسال ممکن است بسته به منطقه شما متفاوت باشند."
آیا ارسال به مناطق دورافتاده گران‌تر است؟,"بله، ارسال به مناطق دورافتاده ممکن است هزینه بیشتری داشته باشد."
آیا برای بازگشت کالا نیاز به پر کردن فرم خاصی دارم؟,"بله، شما باید فرم بازگشت کالا را پر کنید تا بتوانید فرآیند بازگشت را شروع کنید."
آیا می‌توانم از کارت‌های اعتباری خارجی برای خرید استفاده کنم؟,"بله، کارت‌های اعتباری بین‌المللی در فروشگاه آنلاین ما پذیرفته می‌شوند."
آیا برای خرید آنلاین نیاز به حساب کاربری دارم؟,"خیر، شما می‌توانید بدون داشتن حساب کاربری به عنوان مهمان خرید کنید."
آیا امکان بازگشت کالای خریداری‌شده وجود دارد؟,"بله، شما می‌توانید کالا را در صورت تطابق با شرایط بازگشت در مدت زمان مشخص شده بازگشت دهید."
آیا می‌توانم یک سفارش را لغو کنم؟,"بله، شما می‌توانید سفارش خود را تا 5 دقیقه پس از خرید لغو کنید."
آیا می‌توانم محصولی را که از فروشگاه آنلاین خریداری کرده‌ام در فروشگاه فیزیکی برگشت دهم؟,"بله، شما می‌توانید محصولات خریداری شده آنلاین را در فروشگاه‌های فیزیکی برگشت دهید."
آیا می‌توانم سفارش خود را تغییر دهم؟,"بله، شما می‌توانید جزئیات سفارش خود را قبل از ارسال تغییر دهید."
آیا می‌توانم به خریدهای آنلاین خود از کارت هدیه استفاده کنم؟,"بله، شما می‌توانید هنگام پرداخت از کارت هدیه استفاده کنید."
آیا می‌توانم برای خریدهای خود از تخفیف‌ها و کوپن‌های مختلف استفاده کنم؟,"خیر، معمولاً فقط یک کد تخفیف می‌تواند برای هر سفارش استفاده شود."
آیا امکان خرید به صورت عمده وجود دارد؟,"بله، شما می‌توانید برای خرید عمده با تیم پشتیبانی تماس بگیرید."
آیا امکان خرید آنلاین و تحویل در فروشگاه وجود دارد؟,"بله، شما می‌توانید هنگام پرداخت گزینه تحویل در فروشگاه را انتخاب کنید."
آیا به مشتریان جدید تخفیف داده می‌شود؟,"بله، مشتریان جدید می‌توانند از تخفیف ویژه در اولین خرید خود استفاده کنند."
آیا می‌توانم برای خرید خود از برنامه‌های پرداخت اقساطی استفاده کنم؟,"بله، شما می‌توانید از گزینه‌های پرداخت اقساطی مانند Afterpay استفاده کنید."
آیا می‌توانم از پرداخت‌های دیجیتال مانند Apple Pay استفاده کنم؟,"بله، Apple Pay به عنوان یک گزینه پرداخت در دسترس است."
آیا برای تحویل سفارش‌ها گزینه ارسال سریع وجود دارد؟,"بله، شما می‌توانید گزینه ارسال سریع را در زمان پرداخت انتخاب کنید."
آیا برای هر سفارش تاریخ تحویل خاصی وجود دارد؟,"بله، شما می‌توانید تاریخ تحویل مورد نظر خود را هنگام پرداخت درخواست کنید، در صورتی که امکان‌پذیر باشد."
آیا برای ارسال‌های بین‌المللی هزینه اضافی دریافت می‌شود؟,"بله، ارسال بین‌المللی ممکن است شامل هزینه‌های اضافی باشد."
آیا برای بازگشت کالا باید هزینه ارسال پرداخت کنم؟,"بله، هزینه‌های ارسال ممکن است برای بازگشت کالا به عهده مشتری باشد."
آیا امکان خرید از فروشگاه به صورت آنلاین و ارسال به چندین آدرس مختلف وجود دارد؟,"بله، شما می‌توانید چندین آدرس ارسال را هنگام پرداخت انتخاب کنید."
آیا می‌توانم از سایت شما به صورت مهمان خرید کنم؟,"بله، شما می‌توانید بدون داشتن حساب کاربری به عنوان مهمان خرید کنید."
آیا برای اشتراک در برنامه‌های ویژه شما هزینه‌ای وجود دارد؟,"خیر، شما می‌توانید بدون هزینه اشتراک به برنامه‌های ویژه ما بپیوندید."
آیا می‌توانم برای خریدهای خود از کوپن تخفیف استفاده کنم؟,"بله، شما می‌توانید هنگام پرداخت از کوپن تخفیف استفاده کنید."
آیا برای خرید آنلاین باید اطلاعات خاصی را وارد کنم؟,"بله، شما باید اطلاعات حمل و نقل و پرداخت خود را هنگام خرید آنلاین وارد کنید."
آیا می‌توانم کالاهایی که در تخفیف هستند را بازگشت دهم؟,"بله، شما می‌توانید کالاهای تخفیف خورده را در مدت زمان مشخص شده بازگشت دهید."
آیا برای خرید از وب‌سایت شما نیاز به ثبت‌نام دارم؟,"خیر، شما می‌توانید بدون ثبت‌نام خرید کنید، اما ثبت‌نام به شما مزایای بیشتری می‌دهد."
آیا برای خرید باید کارت شناسایی یا مدرک خاصی را نشان دهم؟,"معمولاً نیازی به ارائه کارت شناسایی نیست، اما برای برخی از خریدها ممکن است به آن نیاز داشته باشید."
آیا می‌توانم درخواست کاتالوگ محصولات را بدهم؟,"بله، کاتالوگ محصولات ما برای دانلود در وب‌سایت موجود است."
آیا می‌توانم از اپلیکیشن شما استفاده کنم؟,"بله، اپلیکیشن ما برای iOS و Android در دسترس است."
آیا امکان دریافت نسخه فیزیکی از فاکتور خرید وجود دارد؟,"بله، شما می‌توانید نسخه فیزیکی فاکتور خرید خود را از طریق ایمیل یا پشتیبانی دریافت کنید."
آیا می‌توانم برای خریدهای خود از پاداش‌های وفاداری استفاده کنم؟,"بله، امتیازات وفاداری شما می‌توانند برای تخفیف‌های اضافی در خریدهای آینده استفاده شوند."
آیا امکان پیش‌خرید محصولات خاص وجود دارد؟,"بله، محصولات انتخابی برای پیش‌خرید در دسترس هستند."
آیا امکان تعویض کالاهای خریداری شده وجود دارد؟,"بله، شما می‌توانید کالاهای خریداری شده را در مدت زمان مشخص شده تعویض کنید."
آیا امکان ارسال بین‌المللی دارید؟,"بله، ما به کشورهای هم‌مرز و برخی کشورها دیگر ارسال می‌کنیم."
آیا برای تحویل سفارش‌ها هزینه‌ای دریافت می‌شود؟,"بله، هزینه ارسال بسته به مکان و مبلغ سفارش متفاوت است."
آیا می‌توانم هنگام پرداخت از کارت اعتباری استفاده کنم؟,"بله، شما می‌توانید هنگام پرداخت از کارت‌های اعتباری استفاده کنید."
آیا برای خریدها تخفیف‌های ویژه تعطیلات وجود دارد؟,"بله، در دوره‌های تبلیغاتی و تعطیلات تخفیف‌های ویژه ارائه می‌شود."
آیا برای خرید باید حساب کاربری ایجاد کنم؟,"شما می‌توانید بدون داشتن حساب کاربری خرید کنید، اما ثبت‌نام مزایای بیشتری دارد."
آیا می‌توانم برای خرید از کارت‌های هدیه استفاده کنم؟,"بله، شما می‌توانید هنگام پرداخت از کارت‌های هدیه استفاده کنید."
آیا برای خرید آنلاین باید وارد حساب کاربری خود شوم؟,"بله، برای استفاده از تخفیف‌ها و مزایای خاص، بهتر است وارد حساب کاربری خود شوید."
آیا می‌توانم کالای خریداری شده را به صورت آنلاین پیگیری کنم؟,"بله، شما می‌توانید وضعیت سفارش خود را در پنل کاربری پیگیری کنید."
آیا برای خرید از تخفیف‌های آنلاین باید کد خاصی وارد کنم؟,"بله، شما می‌توانید هنگام پرداخت کد تخفیف را وارد کنید."
آیا می‌توانم محصولات خریداری‌شده را به راحتی برگشت دهم؟,"بله، شما می‌توانید محصولات را در صورت تطابق با شرایط بازگشت، بازگشت دهید."
آیا برای خرید باید روش خاصی از پرداخت را انتخاب کنم؟,شما می‌توانید از روش‌های مختلف پرداخت مانند کارت‌های اعتباری و انتقال بانکی استفاده کنید.
آیا برای ارسال کالاها به خارج از کشور هزینه اضافی وجود دارد؟,"بله، ارسال بین‌المللی ممکن است هزینه‌های اضافی به همراه داشته باشد."
آیا می‌توانم از کد تخفیف برای خریدهای تخفیف‌خورده استفاده کنم؟,"خیر، کدهای تخفیف معمولاً برای محصولات تخفیف‌خورده قابل استفاده نیستند."
آیا محصولات شما به طور آزمایشی بر روی حیوانات تست می‌شوند؟,"خیر، محصولات ما آزمایشات حیوانی ندارند."
آیا محصولات شما دارای تاییدیه FDA هستند؟,"بله، تمامی محصولاتی که نیاز به تاییدیه FDA دارند، مطابق با استانداردهای آن هستند."
آیا می‌توانم یک نمونه از محصول را قبل از خرید دریافت کنم؟,"بله، نمونه‌هایی از برخی محصولات در دسترس هستند."
آیا می‌توانم خرید خود را به صورت قسطی انجام دهم؟,"بله، شما می‌توانید از گزینه‌های پرداخت قسطی مانند ""Afterpay"" استفاده کنید."
آیا می‌توانم سفارش خود را تغییر دهم؟,"متاسفانه پس از ثبت سفارش، امکان تغییر آن وجود ندارد، اما می‌توانید سفارش جدیدی ثبت کنید."
آیا می‌توانم سفارشات مختلف را با هم ترکیب کنم؟,"پس از ثبت سفارش، نمی‌توانیم سفارشات را با هم ترکیب کنیم."
آیا می‌توانم محصولات را به آدرس‌های مختلف ارسال کنم؟,"بله، می‌توانید آدرس‌های مختلف را در طول فرآیند پرداخت وارد کنید."
آیا می‌توانم از یک کارت اعتباری پیش‌پرداختی برای پرداخت استفاده کنم؟,"بله، کارت‌های اعتباری پیش‌پرداختی برای خریدهای آنلاین پذیرفته می‌شوند."
آیا می‌توانم اطلاعات حساب کاربری خود را به‌روزرسانی کنم؟,"بله، شما می‌توانید اطلاعات حساب کاربری خود را از بخش تنظیمات به‌روزرسانی کنید."
آیا می‌توانم کالای خریداری‌شده را در فروشگاه بازگردانم؟,"بله، شما می‌توانید کالاهای خریداری‌شده را در فروشگاه فیزیکی بازگردانید."
آیا می‌توانم با استفاده از کارت هدیه خرید کنم؟,"بله، شما می‌توانید هنگام پرداخت از کارت هدیه استفاده کنید."
آیا می‌توانم خریدهای خود را در تعطیلات دریافت کنم؟,"بله، بسیاری از فروشگاه‌ها در تعطیلات باز هستند و تحویل سفارشات در این روزها انجام می‌شود."
آیا می‌توانم کالای خریداری‌شده را در مدت کوتاهی بازگردانم؟,"بله، شما می‌توانید کالا را در مدت زمان بازگشت مشخص شده بازگردانید."
آیا محصولات شما از مواد بازیافتی ساخته شده‌اند؟,"بله، بسیاری از محصولات ما از مواد بازیافتی ساخته شده‌اند."
آیا برای ارسال به مناطق دوردست هزینه اضافی دریافت می‌شود؟,ارسال به مناطق دوردست ممکن است هزینه‌های اضافی داشته باشد.
آیا برای خرید می‌توانم از پی‌پال استفاده کنم؟,"بله، ما پرداخت از طریق پی‌پال را برای تمامی خریدهای آنلاین می‌پذیریم."
آیا سرویس اشتراک وجود دارد؟,"بله، ما سرویس اشتراک برای سفارش‌های مکرر ارائه می‌دهیم."
آیا راهی برای ویرایش نظر من وجود دارد؟,در حال حاضر نظرات پس از ارسال قابل ویرایش نیستند.
آیا راهی برای تسریع در بازگشت کالاها وجود دارد؟,"بله، بازگشت اولویت‌دار برای هزینه کم در دسترس است."
آیا راهی برای ذخیره کالاها برای بعد وجود دارد؟,"بله، از ویژگی فهرست آرزوها برای ذخیره کالاها استفاده کنید."
آیا اپلیکیشن موجود است؟,"بله، اپلیکیشن ما برای iOS و اندروید در دسترس است."
متشکرم,"خوش آمدید، هر سوال دیگری داشتید بپرسید."
زمان تحویل برای مناطق روستایی چقدر است؟,تحویل به مناطق روستایی ممکن است ۲-۳ ساعت اضافی زمان ببرد.
نرخ‌های تبدیل ارز برای ارزهای خارجی چیست؟,ما پرداخت‌ها را در ارزهای مختلف با نرخ‌های تبدیل فعلی می‌پذیریم.
شرایط خرید عمده چیست؟,برای شرایط خرید عمده با خدمات مشتری تماس بگیرید.
هزینه‌های ارسال چقدر است؟,هزینه‌های ارسال بسته به محل و مجموع سفارش متغیر است.
ساعات کاری فروشگاه چطور است؟,فروشگاه ما از ساعت ۸ صبح تا ۱۱ شب از شنبه تا چهارشنبه باز است.
مالیات‌ها بر روی سفارش من چقدر است؟,مالیات‌ها بسته به محل شما متفاوت است.
برنامه وفاداری شامل چه چیزهایی است؟,اعضا امتیاز می‌گیرند و دسترسی ویژه به فروش‌ها و رویدادها دارند.
گارانتی چه چیزی را پوشش می‌دهد؟,گارانتی ما شامل عیوب تولید است.
اگر کالای من پس از خرید تخفیف بخورد چه می‌شود؟,"در صورتی که تخفیف خورده باشد، ظرف ۳ روز برای تنظیم قیمت با ما تماس بگیرید."
اگر تحویل را از دست بدهم چه اتفاقی می‌افتد؟,حامل تلاش می‌کند مجدداً تحویل دهد یا یک اطلاعیه می‌گذارد.
اگر کالای من آسیب‌دیده برسد چه می‌شود؟,برای گزارش کالاهای آسیب‌دیده ظرف ۱۲ ساعت با خدمات مشتری تماس بگیرید.
اگر کالای من در حین حمل و نقل گم شود چه می‌شود؟,"اگر کالای شما گم شد، با خدمات مشتری تماس بگیرید برای کمک."
اگر سفارش من اشتباه باشد چه می‌شود؟,برای حل مشکلات سفارش خود با خدمات مشتری تماس بگیرید.
اگر به اشتباه دو بار سفارش داده باشم چه باید بکنم؟,برای لغو سفارش تکراری با خدمات مشتری تماس بگیرید.
اگر سفارش من نرسد چه باید بکنم؟,"اگر سفارش شما به تاریخ تخمینی نرسید، با خدمات مشتری تماس بگیرید."
اگر کارت هدیه خود را گم کنم چه باید بکنم؟,کارت‌های هدیه غیرقابل بازپرداخت هستند و اگر گم شوند نمی‌توان آن‌ها را جایگزین کرد.
اگر تحویل برنامه‌ریزی‌شده را از دست بدهم چه می‌شود؟,حامل تلاش می‌کند مجدداً تحویل دهد یا بسته شما را در یک مکان نزدیک نگه می‌دارد.
اگر کالای اشتباهی دریافت کنم چه باید بکنم؟,برای بازگشت یا تعویض کالا با خدمات مشتری تماس بگیرید.
اگر کالای من تمام شده باشد چه می‌شود؟,برای اطلاع از موجودی مجدد به صفحه محصول مراجعه کنید.
اگر سفارش من تأخیر داشته باشد چه باید بکنم؟,شما می‌توانید سفارش خود را برای دریافت به‌روزرسانی‌ها پیگیری کنید.
اگر پرداخت من رد شود چه باید بکنم؟,"اگر پرداخت شما رد شد، لطفاً روش پرداخت دیگری را امتحان کنید."
اگر سایز من تمام شده باشد چه باید بکنم؟,می‌توانید برای دریافت اطلاعیه زمانی که سایز شما دوباره موجود شد ثبت‌نام کنید.
اگر کالای من در حالت پیش‌سفارش باشد چه می‌شود؟,"اگر کالا در حالت پیش‌سفارش باشد، وقتی موجود شد به شما اطلاع داده می‌شود."
ایمیل پشتیبانی مشتری چیست؟,شما می‌توانید با آدرس support.SahibBuy@gmail.com با ما تماس بگیرید.
تاریخ تخمینی تحویل چیست؟,شما می‌توانید تاریخ تخمینی تحویل را در هنگام تسویه‌حساب مشاهده کنید.
سریع‌ترین گزینه ارسال چیست؟,ارسال شبانه سریع‌ترین گزینه ماست؛ آن را در هنگام تسویه‌حساب انتخاب کنید.
حداقل خرید برای ارسال رایگان چیست؟,ارسال رایگان برای سفارشات بالای ۲۵۰۰ افغانی در دسترس است.
سیاست بازگشت کالا چیست؟,شما می‌توانید کالاها را ظرف ۳ روز بازگردانید.
گارانتی این محصول چیست؟,بیشتر محصولات با گارانتی یک‌ساله عرضه می‌شوند.
چه روش‌های پرداختی را قبول می‌کنید؟,"ما پرداخت به‌وسیله نقد، کارت‌های اعتباری، پی‌پال و انتقالات بانکی را می‌پذیریم."
اگر آدرس ارسال اشتباه وارد کردم چه باید بکنم؟,فوراً با خدمات مشتری تماس بگیرید تا آدرس را اصلاح کنید.
اگر رمز عبور خود را فراموش کردم چه باید بکنم؟,از لینک 'فراموشی رمز عبور' در صفحه ورود برای تنظیم مجدد استفاده کنید.
اگر مشکوک به تقلب در حساب کاربری خود هستم چه باید بکنم؟,فوراً با خدمات مشتری تماس بگیرید تا حساب شما امن شود.
اگر اپلیکیشن کرش کند چه باید بکنم؟,اپلیکیشن را دوباره نصب کنید یا برای کمک با پشتیبانی تماس بگیرید.
